Recency,Frequency,Monetary,Cluster,Segment
257,2,346.6,2,At-Risk Customers
17,6,1836.34,0,High Value Customers
35,2,94.2,1,Regular Customers
46,3,1095.08,1,Regular Customers
43,6,2707.33,0,High Value Customers
114,2,932.97,1,Regular Customers
165,2,379.65,2,At-Risk Customers
11,2,382.14,1,Regular Customers
10,5,2639.17,0,High Value Customers
206,2,1573.2,2,At-Risk Customers
86,3,897.76,1,Regular Customers
179,1,189.47,2,At-Risk Customers
60,3,84.65,1,Regular Customers
149,1,305.02,2,At-Risk Customers
51,2,218.55,1,Regular Customers
75,1,349.7,1,Regular Customers
301,2,186.39000000000001,2,At-Risk Customers
19,2,396.92,1,Regular Customers
151,2,486.82000000000005,2,At-Risk Customers
152,1,232.6,2,At-Risk Customers
18,4,827.83,1,Regular Customers
187,1,59.5,2,At-Risk Customers
286,1,67.23,2,At-Risk Customers
183,1,72.0,2,At-Risk Customers
63,1,910.0,1,Regular Customers
59,1,172.25,1,Regular Customers
25,3,1488.32,0,High Value Customers
39,1,151.29999999999998,1,Regular Customers
155,1,308.58000000000004,2,At-Risk Customers
26,10,2265.12,0,High Value Customers
318,1,99.5,2,At-Risk Customers
5,9,2308.06,0,High Value Customers
8,3,711.86,1,Regular Customers
303,1,330.79,2,At-Risk Customers
267,2,806.41,2,At-Risk Customers
271,1,296.88,2,At-Risk Customers
32,1,180.48,1,Regular Customers
219,2,252.06,2,At-Risk Customers
247,1,228.84,2,At-Risk Customers
281,5,1079.34,2,At-Risk Customers
269,1,138.28,2,At-Risk Customers
32,6,1445.01,0,High Value Customers
246,2,306.55,2,At-Risk Customers
15,5,1041.68,0,High Value Customers
117,4,799.9,1,Regular Customers
36,1,524.14,1,Regular Customers
132,3,2375.41,0,High Value Customers
217,1,199.85000000000002,2,At-Risk Customers
50,8,1980.56,0,High Value Customers
39,2,1079.6599999999999,1,Regular Customers
29,2,333.48,1,Regular Customers
37,6,1016.14,0,High Value Customers
136,2,752.6,1,Regular Customers
219,2,610.59,2,At-Risk Customers
28,1,491.86,1,Regular Customers
25,4,2885.2400000000002,0,High Value Customers
5,2,731.9,1,Regular Customers
200,1,339.59999999999997,2,At-Risk Customers
18,1,216.9,1,Regular Customers
241,1,350.75,2,At-Risk Customers
72,3,668.4300000000001,1,Regular Customers
3,7,1341.6,0,High Value Customers
95,2,1156.36,1,Regular Customers
162,1,300.04,2,At-Risk Customers
96,5,948.25,0,High Value Customers
54,5,1647.26,0,High Value Customers
288,1,296.25,2,At-Risk Customers
124,6,1186.28,0,High Value Customers
288,1,741.26,2,At-Risk Customers
152,2,282.59999999999997,2,At-Risk Customers
4,9,2161.35,0,High Value Customers
33,2,659.4100000000001,1,Regular Customers
54,2,286.79,1,Regular Customers
50,2,1070.65,1,Regular Customers
219,1,306.72,2,At-Risk Customers
63,1,1714.96,1,Regular Customers
71,3,1521.76,0,High Value Customers
2,10,2796.51,0,High Value Customers
64,4,2634.45,0,High Value Customers
34,3,1132.13,1,Regular Customers
82,1,345.0,1,Regular Customers
103,1,178.7,1,Regular Customers
7,2,360.01,1,Regular Customers
251,1,127.84,2,At-Risk Customers
13,6,912.0,0,High Value Customers
10,11,2462.79,0,High Value Customers
76,2,309.04,1,Regular Customers
4,1,348.8,1,Regular Customers
128,2,1516.0,1,Regular Customers
66,2,195.55,1,Regular Customers
117,2,688.86,1,Regular Customers
310,1,558.32,2,At-Risk Customers
67,1,324.8,1,Regular Customers
255,1,277.07,2,At-Risk Customers
31,7,2635.79,0,High Value Customers
52,2,924.6,1,Regular Customers
64,1,256.38,1,Regular Customers
6,5,1747.66,0,High Value Customers
305,1,155.05,2,At-Risk Customers
29,3,1499.01,0,High Value Customers
184,3,814.5,2,At-Risk Customers
42,3,539.0,1,Regular Customers
40,4,1366.8600000000001,0,High Value Customers
92,2,1579.12,1,Regular Customers
24,2,571.6700000000001,1,Regular Customers
29,2,382.98,1,Regular Customers
302,3,1140.35,2,At-Risk Customers
145,2,385.64,2,At-Risk Customers
6,2,632.0,1,Regular Customers
19,2,957.66,1,Regular Customers
33,5,1698.94,0,High Value Customers
176,1,189.5,2,At-Risk Customers
58,3,412.05,1,Regular Customers
22,1,209.49,1,Regular Customers
16,6,2202.99,0,High Value Customers
19,1,52.199999999999996,1,Regular Customers
159,1,384.8,2,At-Risk Customers
25,4,834.57,1,Regular Customers
212,2,271.24,2,At-Risk Customers
6,4,691.73,1,Regular Customers
253,1,85.0,2,At-Risk Customers
11,1,361.62,1,Regular Customers
65,1,312.98,1,Regular Customers
25,3,865.0600000000001,1,Regular Customers
92,3,1255.0,1,Regular Customers
52,2,1537.95,1,Regular Customers
129,1,1595.48,1,Regular Customers
96,3,2651.46,0,High Value Customers
57,1,1090.14,1,Regular Customers
169,3,388.5,2,At-Risk Customers
57,1,216.17,1,Regular Customers
326,1,201.16,2,At-Risk Customers
1,5,1245.9,0,High Value Customers
18,8,2209.36,0,High Value Customers
248,1,305.78,2,At-Risk Customers
58,4,501.56,1,Regular Customers
74,1,145.67000000000002,1,Regular Customers
31,3,1015.29,1,Regular Customers
2,8,2770.94,0,High Value Customers
120,3,389.6,1,Regular Customers
54,5,1786.79,0,High Value Customers
64,1,122.7,1,Regular Customers
86,1,117.24,1,Regular Customers
55,1,1281.53,1,Regular Customers
3,5,1191.13,0,High Value Customers
11,5,2674.48,0,High Value Customers
7,5,787.6,1,Regular Customers
189,2,506.8,2,At-Risk Customers
71,1,243.56,1,Regular Customers
204,1,349.55,2,At-Risk Customers
120,2,605.63,1,Regular Customers
93,1,416.90000000000003,1,Regular Customers
1,10,1883.8100000000002,0,High Value Customers
27,4,632.97,1,Regular Customers
298,1,821.1,2,At-Risk Customers
24,3,564.62,1,Regular Customers
28,4,2593.07,0,High Value Customers
50,1,311.16,1,Regular Customers
326,1,155.93,2,At-Risk Customers
16,2,388.52,1,Regular Customers
183,3,740.95,2,At-Risk Customers
72,5,2867.2,0,High Value Customers
37,2,332.64,1,Regular Customers
80,4,2369.55,0,High Value Customers
57,9,2580.91,0,High Value Customers
12,2,626.45,1,Regular Customers
50,2,272.04,1,Regular Customers
50,2,1212.8400000000001,1,Regular Customers
59,2,384.81,1,Regular Customers
54,1,351.13,1,Regular Customers
2,6,1838.8500000000001,0,High Value Customers
93,4,678.25,1,Regular Customers
23,1,223.85000000000002,1,Regular Customers
75,1,348.99,1,Regular Customers
11,4,464.57,1,Regular Customers
169,2,842.65,2,At-Risk Customers
58,2,337.34,1,Regular Customers
96,2,1237.53,1,Regular Customers
295,1,307.4,2,At-Risk Customers
109,2,608.7900000000001,1,Regular Customers
264,1,922.1,2,At-Risk Customers
180,1,376.58,2,At-Risk Customers
169,1,158.85,2,At-Risk Customers
35,1,71.66,1,Regular Customers
23,3,568.55,1,Regular Customers
17,4,839.14,1,Regular Customers
79,3,561.5699999999999,1,Regular Customers
65,1,90.6,1,Regular Customers
3,6,2427.32,0,High Value Customers
11,4,745.06,1,Regular Customers
176,3,674.45,2,At-Risk Customers
2,2,439.92,1,Regular Customers
154,2,322.96,2,At-Risk Customers
5,5,1026.42,0,High Value Customers
79,3,598.2,1,Regular Customers
21,2,230.22,1,Regular Customers
22,2,169.55,1,Regular Customers
308,4,664.54,2,At-Risk Customers
146,1,80.7,2,At-Risk Customers
19,8,2758.26,0,High Value Customers
71,2,190.25,1,Regular Customers
287,1,264.7,2,At-Risk Customers
49,1,413.59000000000003,1,Regular Customers
31,6,2526.28,0,High Value Customers
207,1,357.98,2,At-Risk Customers
15,2,196.79000000000002,1,Regular Customers
73,1,869.87,1,Regular Customers
60,1,200.14,1,Regular Customers
39,4,1871.81,0,High Value Customers
27,5,920.51,0,High Value Customers
17,1,320.46,1,Regular Customers
66,2,1266.08,1,Regular Customers
213,1,311.3,2,At-Risk Customers
12,6,855.97,0,High Value Customers
30,1,76.8,1,Regular Customers
4,6,2313.14,0,High Value Customers
15,5,1393.69,0,High Value Customers
211,1,635.66,2,At-Risk Customers
46,3,2043.0800000000002,0,High Value Customers
134,2,529.73,1,Regular Customers
10,5,2874.72,0,High Value Customers
116,3,962.19,1,Regular Customers
198,2,695.61,2,At-Risk Customers
278,1,328.8,2,At-Risk Customers
110,3,473.02,1,Regular Customers
77,1,505.18,1,Regular Customers
53,1,917.34,1,Regular Customers
47,3,1421.61,1,Regular Customers
17,2,642.8,1,Regular Customers
155,3,631.9,2,At-Risk Customers
225,1,440.0,2,At-Risk Customers
7,2,584.07,1,Regular Customers
122,2,327.7,1,Regular Customers
61,1,104.82,1,Regular Customers
63,2,467.66,1,Regular Customers
18,8,2360.09,0,High Value Customers
2,11,2975.59,0,High Value Customers
22,3,651.8199999999999,1,Regular Customers
29,5,1428.02,0,High Value Customers
285,1,626.65,2,At-Risk Customers
176,2,147.20000000000002,2,At-Risk Customers
78,3,1560.38,0,High Value Customers
33,1,152.2,1,Regular Customers
266,1,141.41,2,At-Risk Customers
27,4,652.82,1,Regular Customers
109,4,1659.75,0,High Value Customers
284,1,154.99,2,At-Risk Customers
9,5,1308.6100000000001,0,High Value Customers
305,1,409.93,2,At-Risk Customers
32,2,746.36,1,Regular Customers
20,1,225.36,1,Regular Customers
124,2,260.25,1,Regular Customers
65,1,92.46,1,Regular Customers
106,1,725.6400000000001,1,Regular Customers
267,1,183.6,2,At-Risk Customers
29,5,1353.74,0,High Value Customers
267,1,152.55,2,At-Risk Customers
64,2,374.7,1,Regular Customers
320,1,265.85,2,At-Risk Customers
4,8,1438.82,0,High Value Customers
32,1,151.04,1,Regular Customers
5,3,942.26,1,Regular Customers
129,1,122.47,1,Regular Customers
41,5,499.41999999999996,1,Regular Customers
102,6,1049.37,0,High Value Customers
125,1,375.1,1,Regular Customers
33,1,45.599999999999994,1,Regular Customers
302,2,934.52,2,At-Risk Customers
4,9,1018.43,0,High Value Customers
3,1,194.42,1,Regular Customers
57,1,161.0,1,Regular Customers
325,1,76.32000000000001,2,At-Risk Customers
12,1,442.85,1,Regular Customers
37,1,147.35,1,Regular Customers
138,1,194.9,2,At-Risk Customers
5,5,1360.28,0,High Value Customers
155,2,216.20999999999998,2,At-Risk Customers
239,1,1266.23,2,At-Risk Customers
52,7,2703.23,0,High Value Customers
31,2,597.91,1,Regular Customers
73,1,144.2,1,Regular Customers
14,4,692.85,1,Regular Customers
23,7,2915.15,0,High Value Customers
4,4,1840.42,0,High Value Customers
274,2,386.53,2,At-Risk Customers
20,5,1382.74,0,High Value Customers
144,1,90.0,2,At-Risk Customers
4,4,2780.15,0,High Value Customers
84,1,419.58000000000004,1,Regular Customers
11,3,2740.43,0,High Value Customers
8,3,706.1300000000001,1,Regular Customers
123,3,709.71,1,Regular Customers
61,2,637.5,1,Regular Customers
2,5,1123.8600000000001,0,High Value Customers
319,1,483.86,2,At-Risk Customers
130,3,605.64,1,Regular Customers
2,2,982.3800000000001,1,Regular Customers
46,1,415.82,1,Regular Customers
4,2,935.05,1,Regular Customers
3,4,915.13,1,Regular Customers
134,1,115.8,2,At-Risk Customers
78,2,483.4,1,Regular Customers
234,1,157.2,2,At-Risk Customers
221,1,446.62,2,At-Risk Customers
36,2,658.64,1,Regular Customers
75,2,621.29,1,Regular Customers
239,2,1345.62,2,At-Risk Customers
266,1,118.75,2,At-Risk Customers
20,2,432.88,1,Regular Customers
40,1,507.66,1,Regular Customers
216,3,1110.52,2,At-Risk Customers
174,2,289.36,2,At-Risk Customers
87,4,2445.91,0,High Value Customers
71,2,1631.77,1,Regular Customers
276,1,122.53999999999999,2,At-Risk Customers
39,4,574.84,1,Regular Customers
98,1,363.79,1,Regular Customers
11,4,450.84,1,Regular Customers
33,1,134.46,1,Regular Customers
297,4,576.9000000000001,2,At-Risk Customers
86,4,559.41,1,Regular Customers
9,7,1620.93,0,High Value Customers
41,2,719.78,1,Regular Customers
67,1,452.89,1,Regular Customers
31,6,2054.36,0,High Value Customers
68,2,853.39,1,Regular Customers
202,2,1012.0,2,At-Risk Customers
107,1,335.52,1,Regular Customers
18,4,701.4,1,Regular Customers
218,1,185.39999999999998,2,At-Risk Customers
60,7,747.44,0,High Value Customers
2,1,161.03,1,Regular Customers
17,2,466.7,1,Regular Customers
239,1,328.15999999999997,2,At-Risk Customers
95,1,151.74,1,Regular Customers
11,6,2073.43,0,High Value Customers
106,6,1905.8400000000001,0,High Value Customers
53,9,2241.1,0,High Value Customers
90,1,1070.48,1,Regular Customers
31,5,1004.38,0,High Value Customers
12,6,1789.72,0,High Value Customers
3,4,1839.3,0,High Value Customers
43,1,169.48000000000002,1,Regular Customers
4,1,89.94,1,Regular Customers
247,2,632.4,2,At-Risk Customers
177,1,683.17,2,At-Risk Customers
92,3,991.13,1,Regular Customers
110,4,1050.12,1,Regular Customers
29,5,2232.19,0,High Value Customers
52,3,1547.2,0,High Value Customers
184,3,925.71,2,At-Risk Customers
43,5,2048.07,0,High Value Customers
49,4,1462.72,0,High Value Customers
22,4,775.46,1,Regular Customers
81,2,490.86,1,Regular Customers
326,1,146.85,2,At-Risk Customers
43,11,2380.85,0,High Value Customers
30,2,890.34,1,Regular Customers
184,1,213.70000000000002,2,At-Risk Customers
235,2,280.55,2,At-Risk Customers
9,10,2588.77,0,High Value Customers
220,2,1693.45,2,At-Risk Customers
111,3,1474.06,1,Regular Customers
278,1,136.76999999999998,2,At-Risk Customers
318,1,302.58,2,At-Risk Customers
7,3,1904.05,0,High Value Customers
2,5,2879.7000000000003,0,High Value Customers
260,2,969.0600000000001,2,At-Risk Customers
142,1,120.0,2,At-Risk Customers
51,2,1163.45,1,Regular Customers
8,8,2618.23,0,High Value Customers
155,2,333.97,2,At-Risk Customers
109,2,530.18,1,Regular Customers
163,3,1516.24,2,At-Risk Customers
226,1,112.32,2,At-Risk Customers
74,2,437.96,1,Regular Customers
51,4,559.97,1,Regular Customers
99,3,1119.74,1,Regular Customers
197,1,134.04,2,At-Risk Customers
31,2,595.25,1,Regular Customers
21,4,1910.01,0,High Value Customers
8,3,176.63,1,Regular Customers
213,1,426.6,2,At-Risk Customers
9,6,911.26,0,High Value Customers
11,5,2314.65,0,High Value Customers
3,4,1046.56,1,Regular Customers
40,1,166.20000000000002,1,Regular Customers
18,4,1305.33,0,High Value Customers
19,1,43.2,1,Regular Customers
117,1,640.14,1,Regular Customers
223,1,383.45,2,At-Risk Customers
71,3,1858.96,0,High Value Customers
51,2,2093.32,0,High Value Customers
89,6,2995.72,0,High Value Customers
8,9,2352.53,0,High Value Customers
243,1,310.26,2,At-Risk Customers
47,6,1611.59,0,High Value Customers
107,1,120.0,1,Regular Customers
45,6,2481.13,0,High Value Customers
65,1,508.58000000000004,1,Regular Customers
207,2,477.79,2,At-Risk Customers
11,5,1530.75,0,High Value Customers
115,2,605.0600000000001,1,Regular Customers
242,1,183.85,2,At-Risk Customers
163,1,311.65,2,At-Risk Customers
124,2,462.65999999999997,1,Regular Customers
23,3,866.31,1,Regular Customers
68,1,415.2,1,Regular Customers
17,8,2552.21,0,High Value Customers
16,2,468.26,1,Regular Customers
17,4,1614.91,0,High Value Customers
161,2,588.22,2,At-Risk Customers
243,1,309.52,2,At-Risk Customers
219,1,134.7,2,At-Risk Customers
45,8,2182.28,0,High Value Customers
21,4,668.5600000000001,1,Regular Customers
127,8,889.9300000000001,0,High Value Customers
39,1,108.97999999999999,1,Regular Customers
121,2,1021.58,1,Regular Customers
260,1,409.57,2,At-Risk Customers
10,1,133.5,1,Regular Customers
274,1,282.93,2,At-Risk Customers
165,1,51.0,2,At-Risk Customers
157,4,1078.96,1,Regular Customers
215,1,90.6,2,At-Risk Customers
6,2,163.62,1,Regular Customers
80,2,701.23,1,Regular Customers
43,1,225.77,1,Regular Customers
19,3,912.18,1,Regular Customers
32,4,2128.23,0,High Value Customers
22,1,161.2,1,Regular Customers
320,1,155.0,2,At-Risk Customers
295,1,100.5,2,At-Risk Customers
185,1,257.68,2,At-Risk Customers
191,2,617.05,2,At-Risk Customers
44,2,348.1,1,Regular Customers
52,1,202.68,1,Regular Customers
26,1,626.0699999999999,1,Regular Customers
38,3,1247.69,1,Regular Customers
9,3,202.11,1,Regular Customers
297,1,142.4,2,At-Risk Customers
33,3,1770.56,0,High Value Customers
65,2,1043.46,1,Regular Customers
218,1,67.95,2,At-Risk Customers
65,2,487.99,1,Regular Customers
149,1,574.7,2,At-Risk Customers
130,4,1475.81,0,High Value Customers
34,6,1474.32,0,High Value Customers
119,1,156.75,1,Regular Customers
107,6,2157.73,0,High Value Customers
11,7,2606.53,0,High Value Customers
71,6,2059.4500000000003,0,High Value Customers
92,9,1105.07,0,High Value Customers
311,1,1063.0,2,At-Risk Customers
43,2,770.03,1,Regular Customers
92,7,1496.98,0,High Value Customers
22,2,490.22,1,Regular Customers
4,3,1937.25,0,High Value Customers
11,6,1058.06,0,High Value Customers
99,1,387.52,1,Regular Customers
57,2,813.11,1,Regular Customers
218,1,265.2,2,At-Risk Customers
18,1,322.08,1,Regular Customers
50,2,363.34000000000003,1,Regular Customers
7,5,1244.83,0,High Value Customers
303,1,470.36,2,At-Risk Customers
10,6,2255.51,0,High Value Customers
22,6,1372.8,0,High Value Customers
99,1,89.06,1,Regular Customers
306,1,131.9,2,At-Risk Customers
320,1,2661.24,2,At-Risk Customers
8,5,2357.6800000000003,0,High Value Customers
1,4,1712.89,0,High Value Customers
205,2,1589.82,2,At-Risk Customers
54,4,1420.2,0,High Value Customers
1,4,1039.58,1,Regular Customers
19,5,1163.23,0,High Value Customers
9,2,375.35,1,Regular Customers
19,4,907.1,1,Regular Customers
181,3,483.25,2,At-Risk Customers
60,2,662.59,1,Regular Customers
11,2,264.44,1,Regular Customers
190,1,119.93,2,At-Risk Customers
311,1,113.64,2,At-Risk Customers
155,1,1837.92,2,At-Risk Customers
110,3,434.34,1,Regular Customers
148,3,2103.06,0,High Value Customers
66,11,2004.02,0,High Value Customers
98,3,529.62,1,Regular Customers
247,3,1058.6200000000001,2,At-Risk Customers
29,7,2272.4,0,High Value Customers
18,4,598.76,1,Regular Customers
12,2,461.19,1,Regular Customers
104,8,1936.84,0,High Value Customers
74,2,234.34000000000003,1,Regular Customers
46,1,547.66,1,Regular Customers
72,3,925.85,1,Regular Customers
257,1,215.7,2,At-Risk Customers
20,4,1309.6,0,High Value Customers
254,2,316.25,2,At-Risk Customers
11,1,279.05,1,Regular Customers
165,2,636.51,2,At-Risk Customers
18,6,2068.15,0,High Value Customers
282,1,137.1,2,At-Risk Customers
50,1,321.92,1,Regular Customers
39,1,165.75,1,Regular Customers
27,6,1196.33,0,High Value Customers
68,1,1064.28,1,Regular Customers
207,1,463.38,2,At-Risk Customers
175,2,340.93,2,At-Risk Customers
7,5,2383.2400000000002,0,High Value Customers
26,1,139.56,1,Regular Customers
51,2,123.8,1,Regular Customers
312,2,538.8100000000001,2,At-Risk Customers
309,1,475.37,2,At-Risk Customers
43,5,1957.32,0,High Value Customers
26,3,815.32,1,Regular Customers
88,3,356.85,1,Regular Customers
184,2,251.21,2,At-Risk Customers
20,11,2470.67,0,High Value Customers
47,4,673.26,1,Regular Customers
17,5,2012.17,0,High Value Customers
24,6,1383.18,0,High Value Customers
22,2,276.42,1,Regular Customers
11,5,1314.81,0,High Value Customers
188,2,275.28,2,At-Risk Customers
101,3,455.59000000000003,1,Regular Customers
61,3,1055.35,1,Regular Customers
18,6,2102.09,0,High Value Customers
33,2,330.45,1,Regular Customers
64,1,174.37,1,Regular Customers
2,2,270.6,1,Regular Customers
24,4,974.54,1,Regular Customers
108,1,241.09,1,Regular Customers
32,9,1867.68,0,High Value Customers
37,1,364.21999999999997,1,Regular Customers
60,3,620.04,1,Regular Customers
26,6,2925.91,0,High Value Customers
236,4,932.85,2,At-Risk Customers
25,7,1949.72,0,High Value Customers
60,3,2864.19,0,High Value Customers
260,1,171.8,2,At-Risk Customers
58,1,355.56,1,Regular Customers
65,2,388.25,1,Regular Customers
16,2,537.48,1,Regular Customers
10,3,996.26,1,Regular Customers
59,8,1461.65,0,High Value Customers
186,1,103.25,2,At-Risk Customers
24,2,2024.45,0,High Value Customers
5,5,2578.09,0,High Value Customers
151,2,652.8,2,At-Risk Customers
311,1,289.24,2,At-Risk Customers
11,2,765.62,1,Regular Customers
18,2,186.23,1,Regular Customers
152,1,165.07,2,At-Risk Customers
19,5,859.27,0,High Value Customers
10,4,2381.04,0,High Value Customers
57,2,324.14,1,Regular Customers
85,1,788.38,1,Regular Customers
76,3,1080.76,1,Regular Customers
111,1,1432.0,1,Regular Customers
57,2,1530.3600000000001,1,Regular Customers
1,1,227.39,1,Regular Customers
281,2,218.06,2,At-Risk Customers
3,7,2832.84,0,High Value Customers
180,9,1653.42,0,High Value Customers
13,4,859.71,1,Regular Customers
3,1,168.63,1,Regular Customers
17,1,138.6,1,Regular Customers
41,1,114.11,1,Regular Customers
6,5,1052.55,0,High Value Customers
169,4,1042.26,2,At-Risk Customers
50,1,157.05,1,Regular Customers
277,1,237.36,2,At-Risk Customers
19,9,1601.14,0,High Value Customers
15,4,1447.14,0,High Value Customers
35,3,570.46,1,Regular Customers
22,3,617.99,1,Regular Customers
7,2,379.83,1,Regular Customers
20,6,1740.6,0,High Value Customers
11,2,883.15,1,Regular Customers
44,1,221.97,1,Regular Customers
306,1,393.33000000000004,2,At-Risk Customers
11,1,213.96,1,Regular Customers
275,1,660.0,2,At-Risk Customers
4,4,1785.15,0,High Value Customers
72,4,601.56,1,Regular Customers
243,3,406.08000000000004,2,At-Risk Customers
9,3,553.44,1,Regular Customers
246,1,394.44,2,At-Risk Customers
206,2,412.78000000000003,2,At-Risk Customers
1,5,1788.3600000000001,0,High Value Customers
185,1,320.58000000000004,2,At-Risk Customers
32,5,889.25,0,High Value Customers
57,2,225.85,1,Regular Customers
196,2,899.63,2,At-Risk Customers
24,4,2791.27,0,High Value Customers
91,2,671.96,1,Regular Customers
4,2,959.01,1,Regular Customers
51,3,1006.98,1,Regular Customers
263,1,114.56,2,At-Risk Customers
266,1,344.90000000000003,2,At-Risk Customers
36,2,609.85,1,Regular Customers
51,1,443.6,1,Regular Customers
52,6,2984.49,0,High Value Customers
24,6,2125.08,0,High Value Customers
22,1,110.46,1,Regular Customers
59,1,96.12,1,Regular Customers
170,2,693.8100000000001,2,At-Risk Customers
68,2,830.76,1,Regular Customers
157,2,597.09,2,At-Risk Customers
201,1,243.22,2,At-Risk Customers
5,4,1417.29,0,High Value Customers
67,2,654.6,1,Regular Customers
77,1,114.18,1,Regular Customers
1,7,1947.55,0,High Value Customers
8,4,1932.23,0,High Value Customers
169,2,291.05,2,At-Risk Customers
18,4,848.22,1,Regular Customers
5,2,247.15,1,Regular Customers
9,9,2529.93,0,High Value Customers
87,2,285.74,1,Regular Customers
27,1,107.95,1,Regular Customers
29,4,771.17,1,Regular Customers
20,2,637.89,1,Regular Customers
61,5,1835.7,0,High Value Customers
24,1,195.25,1,Regular Customers
242,3,1269.99,2,At-Risk Customers
280,2,411.53,2,At-Risk Customers
235,2,765.55,2,At-Risk Customers
3,5,1736.4,0,High Value Customers
16,1,604.75,1,Regular Customers
31,6,2548.2400000000002,0,High Value Customers
71,3,498.95,1,Regular Customers
188,2,52.0,2,At-Risk Customers
26,5,1236.28,0,High Value Customers
107,1,628.38,1,Regular Customers
209,1,112.8,2,At-Risk Customers
44,2,371.7,1,Regular Customers
31,5,2114.33,0,High Value Customers
137,4,591.55,1,Regular Customers
265,1,172.9,2,At-Risk Customers
4,7,2078.95,0,High Value Customers
218,2,188.60999999999999,2,At-Risk Customers
2,5,1250.76,0,High Value Customers
214,1,109.13000000000001,2,At-Risk Customers
32,3,2235.3,0,High Value Customers
11,9,2549.37,0,High Value Customers
15,1,318.17,1,Regular Customers
11,9,1546.91,0,High Value Customers
199,1,179.0,2,At-Risk Customers
3,3,1126.37,1,Regular Customers
14,4,606.13,1,Regular Customers
10,11,2868.8,0,High Value Customers
29,3,917.07,1,Regular Customers
9,11,2666.36,0,High Value Customers
24,1,160.19,1,Regular Customers
25,4,867.38,1,Regular Customers
43,2,329.68,1,Regular Customers
2,5,1602.13,0,High Value Customers
6,3,663.81,1,Regular Customers
147,1,187.92000000000002,2,At-Risk Customers
10,6,1158.3,0,High Value Customers
25,1,718.08,1,Regular Customers
274,1,268.58,2,At-Risk Customers
1,8,2005.06,0,High Value Customers
47,3,380.02,1,Regular Customers
8,8,2702.4900000000002,0,High Value Customers
4,3,1164.55,1,Regular Customers
43,7,1314.45,0,High Value Customers
197,3,1448.21,2,At-Risk Customers
12,6,1400.34,0,High Value Customers
16,7,1099.98,0,High Value Customers
113,5,1220.26,0,High Value Customers
249,1,328.2,2,At-Risk Customers
29,5,1415.75,0,High Value Customers
44,1,389.64,1,Regular Customers
87,1,563.15,1,Regular Customers
45,2,638.05,1,Regular Customers
15,1,738.96,1,Regular Customers
75,1,420.5,1,Regular Customers
145,4,1484.06,0,High Value Customers
5,3,1625.97,0,High Value Customers
297,1,89.2,2,At-Risk Customers
59,2,255.9,1,Regular Customers
264,1,300.52,2,At-Risk Customers
47,1,278.3,1,Regular Customers
29,3,254.11,1,Regular Customers
8,6,2473.37,0,High Value Customers
17,2,192.60000000000002,1,Regular Customers
232,2,876.42,2,At-Risk Customers
112,1,139.26,1,Regular Customers
58,3,1011.9,1,Regular Customers
51,11,2538.3,0,High Value Customers
127,2,730.86,1,Regular Customers
281,3,386.15,2,At-Risk Customers
55,2,447.68,1,Regular Customers
320,1,200.10000000000002,2,At-Risk Customers
26,2,289.99,1,Regular Customers
10,2,77.4,1,Regular Customers
7,2,679.4399999999999,1,Regular Customers
29,1,197.64,1,Regular Customers
17,4,745.06,1,Regular Customers
64,1,6.2,1,Regular Customers
21,1,228.99,1,Regular Customers
3,7,1319.91,0,High Value Customers
166,1,131.45000000000002,2,At-Risk Customers
53,3,173.74,1,Regular Customers
51,1,157.7,1,Regular Customers
61,1,193.14,1,Regular Customers
162,3,845.55,2,At-Risk Customers
9,1,353.27,1,Regular Customers
15,4,554.65,1,Regular Customers
75,1,193.39000000000001,1,Regular Customers
40,8,2741.17,0,High Value Customers
41,11,2087.88,0,High Value Customers
37,2,778.5,1,Regular Customers
197,1,271.85,2,At-Risk Customers
200,2,1110.34,2,At-Risk Customers
74,3,657.8,1,Regular Customers
64,2,272.07,1,Regular Customers
21,4,507.29,1,Regular Customers
180,3,321.43,2,At-Risk Customers
10,4,1127.71,1,Regular Customers
197,3,2139.76,0,High Value Customers
29,4,697.55,1,Regular Customers
53,1,197.13,1,Regular Customers
18,6,1720.3,0,High Value Customers
10,3,102.44999999999999,1,Regular Customers
90,4,1649.5,0,High Value Customers
268,1,62.85,2,At-Risk Customers
44,4,2824.69,0,High Value Customers
149,1,309.4,2,At-Risk Customers
312,1,325.75,2,At-Risk Customers
23,2,511.35,1,Regular Customers
58,6,2836.69,0,High Value Customers
24,2,475.8,1,Regular Customers
78,7,2759.83,0,High Value Customers
119,2,645.65,1,Regular Customers
36,3,1311.3799999999999,1,Regular Customers
60,2,1173.12,1,Regular Customers
13,4,1353.74,0,High Value Customers
19,1,170.32,1,Regular Customers
52,1,125.79,1,Regular Customers
26,2,841.1999999999999,1,Regular Customers
29,1,266.76,1,Regular Customers
7,2,52.2,1,Regular Customers
186,3,710.28,2,At-Risk Customers
3,8,2953.59,0,High Value Customers
9,2,725.7,1,Regular Customers
262,1,327.25,2,At-Risk Customers
3,4,522.38,1,Regular Customers
210,1,519.68,2,At-Risk Customers
108,2,1465.3200000000002,1,Regular Customers
13,9,1485.54,0,High Value Customers
77,3,706.19,1,Regular Customers
20,1,255.4,1,Regular Customers
27,2,589.7,1,Regular Customers
19,6,761.59,0,High Value Customers
132,1,765.3199999999999,1,Regular Customers
253,1,364.8,2,At-Risk Customers
79,1,1862.0,1,Regular Customers
